src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.105,192.168.56.100,68,67,17,2025-07-04 02:14:14,0.13503026962280273,9434.921544323555,22.217240685220304,14.811493790146868,7.405746895073434,2,1,684,590,342,342,342.0,0.0,590,590,590.0,0.0,590,342,424.6666666666667,116.90832115617586,13667.555555555557,40,20,20,2,0.06751513481140137,0.13503026962280273,0.0,0.06751513481140137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,424.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,590.0,0,2,1,684,590
192.168.56.103,192.168.56.100,68,67,17,2025-07-04 02:16:52,0.21439123153686523,5886.434771391269,13.993109599186853,9.328739732791234,4.664369866395617,2,1,672,590,336,336,336.0,0.0,590,590,590.0,0.0,590,336,420.6666666666667,119.73674828092204,14336.888888888889,40,20,20,2,0.10719561576843262,0.21439123153686523,0.0,0.10719561576843262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,420.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,590.0,0,2,1,672,590
192.168.56.101,192.168.56.100,68,67,17,2025-07-04 02:18:15,0.0,0,0,0,0,2,0,654,0,327,327,327.0,0.0,0,0,0,0.0,327,327,327.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,0,0,2,0,654,0
192.168.56.100,192.168.56.101,67,68,17,2025-07-04 01:18:09,0.0,0,0,0,0,2,0,1180,0,590,590,590.0,0.0,0,0,0,0.0,590,590,590.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,0,0,2,0,1180,0
192.168.56.105,192.168.56.100,68,67,17,2025-07-04 02:19:24,6.148271083831787,222.50157505212366,0.6505894007372036,0.6505894007372036,0.0,4,0,1368,0,342,342,342.0,0.0,0,0,0,0.0,342,342,342.0,0.0,0.0,80,0,20,4,2.0494236946105957,3.076240301132202,0.0,1.449162410965927,6.148271083831787,3.076240301132202,0.0,2.0494236946105957,1.449162410965927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,0,0,4,0,1368,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 02:19:28,0.5536606311798096,408.1922883308695,5.418481703507116,5.418481703507116,0.0,3,0,226,0,76,75,75.33333333333333,0.4714045207910317,0,0,0,0.0,76,75,75.33333333333333,0.4714045207910317,0.2222222222222222,60,0,20,3,0.2768303155899048,0.5536606311798096,0.0,0.2768303155899048,0.5536606311798096,0.5536606311798096,0.0,0.2768303155899048,0.2768303155899048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.33333333333333,0,0,3,0,226,0
192.168.56.100,192.168.56.105,67,68,17,2025-07-04 02:19:47,25.713340520858765,91.78115142548509,0.15556127360251712,0.15556127360251712,0.0,4,0,2360,0,590,590,590.0,0.0,0,0,0,0.0,590,590,590.0,0.0,0.0,80,0,20,4,8.571113506952921,18.197843551635742,0.0,7.466642359566058,25.713340520858765,18.197843551635742,0.0,8.571113506952921,7.466642359566058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,0,0,4,0,2360,0
192.168.56.103,192.168.56.100,68,67,17,2025-07-04 01:21:37,6.034815073013306,209.11991249631743,0.49711548137000977,0.33141032091333983,0.16570516045666991,2,1,672,590,336,336,336.0,0.0,590,590,590.0,0.0,590,336,420.6666666666667,119.73674828092204,14336.888888888889,40,20,20,2,3.017407536506653,6.034815073013306,0.0,3.017407536506653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,420.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,590.0,0,2,1,672,590
192.168.56.101,192.168.56.100,68,67,17,2025-07-04 01:22:47,0.7886972427368164,1577.2845809416826,3.8037409508239937,2.535827300549329,1.2679136502746644,2,1,654,590,327,327,327.0,0.0,590,590,590.0,0.0,590,327,414.6666666666667,123.97938896804133,15370.888888888889,40,20,20,2,0.3943486213684082,0.7886972427368164,0.0,0.3943486213684082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,414.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,590.0,0,2,1,654,590
192.168.56.105,192.168.56.255,138,138,17,2025-07-04 01:23:51,0.00011801719665527344,7024400.032323232,25420.024242424242,25420.024242424242,0.0,3,0,829,0,286,257,276.3333333333333,13.670731102939918,0,0,0,0.0,286,257,276.3333333333333,13.670731102939918,186.88888888888889,60,0,20,3,5.900859832763672e-05,0.00011801719665527344,0.0,5.900859832763672e-05,0.00011801719665527344,0.00011801719665527344,0.0,5.900859832763672e-05,5.900859832763672e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,276.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.3333333333333,0,0,3,0,829,0
192.168.56.105,192.168.56.100,68,67,17,2025-07-04 01:24:20,20.792957544326782,94.16649823989215,0.2404660322775591,0.1923728258220473,0.04809320645551182,4,1,1368,590,342,342,342.0,0.0,590,590,590.0,0.0,590,342,391.6,99.2,9840.64,80,20,20,4,5.198239386081696,12.446389436721802,0.0,5.370037599374896,20.723986864089966,12.446389436721802,0.0,6.907995621363322,5.172685268658424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,391.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,590.0,0,4,1,1368,590
192.168.56.100,192.168.56.105,67,68,17,2025-07-04 01:24:56,11.984246969223022,147.6938855270232,0.2503286195373275,0.2503286195373275,0.0,3,0,1770,0,590,590,590.0,0.0,0,0,0,0.0,590,590,590.0,0.0,0.0,60,0,20,3,5.992123484611511,11.984246969223022,0.0,5.992123484611511,11.984246969223022,11.984246969223022,0.0,5.992123484611511,5.992123484611511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,0,0,3,0,1770,0
